course_name,teacher_no,semester,max_students,enroll_start,enroll_end,grade_deadline
数据库系统,T20240003,2024-2025-1,100,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
数据库系统,T20240003,2026-2027-2,73,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
数据库系统,T20240003,2024-2025-2,115,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
数据库系统,T20240013,2025-2026-1,113,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
操作系统,T20240015,2024-2025-2,116,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
操作系统,T20240015,2026-2027-1,109,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
数据结构,T20240005,2026-2027-2,89,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
数据结构,T20240011,2024-2025-1,62,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
数据结构,T20240005,2024-2025-2,64,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
计算机网络,T20240023,2024-2025-2,64,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
计算机网络,T20240023,2025-2026-1,112,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
软件工程,T20240017,2025-2026-1,88,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
软件工程,T20240017,2025-2026-2,87,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
人工智能,T20240025,2024-2025-1,60,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
人工智能,T20240025,2025-2026-2,106,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
人工智能,T20240025,2026-2027-2,64,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
编译原理,T20240023,2026-2027-1,66,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
编译原理,T20240017,2024-2025-1,110,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
编译原理,T20240023,2026-2027-2,79,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
编译原理,T20240023,2024-2025-2,65,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
离散数学,T20240023,2025-2026-2,102,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
离散数学,T20240004,2026-2027-2,90,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
离散数学,T20240010,2026-2027-1,94,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
高等数学,T20240007,2024-2025-2,100,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
高等数学,T20240007,2025-2026-2,79,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
线性代数,T20240008,2026-2027-2,67,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
线性代数,T20240008,2025-2026-1,60,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
线性代数,T20240008,2024-2025-1,94,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
线性代数,T20240008,2026-2027-1,79,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
大学英语,T20240002,2026-2027-2,86,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
大学英语,T20240011,2025-2026-1,114,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
算法设计,T20240020,2024-2025-2,113,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
算法设计,T20240003,2026-2027-2,72,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
算法设计,T20240001,2026-2027-1,71,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
算法设计,T20240020,2024-2025-1,111,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
Python程序设计,T20240022,2024-2025-1,78,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
Python程序设计,T20240022,2026-2027-1,76,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
Python程序设计,T20240022,2025-2026-2,72,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
Python程序设计,T20240022,2025-2026-1,120,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
Web开发技术,T20240018,2025-2026-1,78,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
Web开发技术,T20240025,2024-2025-2,64,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
Web开发技术,T20240018,2026-2027-1,80,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
机器学习,T20240024,2025-2026-2,97,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
机器学习,T20240003,2025-2026-1,96,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
机器学习,T20240024,2026-2027-1,83,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
计算机组成原理,T20240017,2025-2026-2,75,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
计算机组成原理,T20240007,2024-2025-2,105,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
计算机组成原理,T20240018,2024-2025-1,101,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
概率论与数理统计,T20240009,2025-2026-1,116,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
概率论与数理统计,T20240016,2026-2027-2,89,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
概率论与数理统计,T20240016,2024-2025-2,82,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
数字逻辑,T20240007,2025-2026-2,101,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
数字逻辑,T20240012,2026-2027-1,65,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
数字逻辑,T20240008,2024-2025-1,114,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
